initial key,initial value,assigned workspace,assigned bucket,assigned key name,is merged
andpoe.accom_detail_map_similar_hotel_tab_title,Similar accommodations,accommodation,accommodation_detail,map_similar_hotel_tab_title,FALSE
andpoe.accom_detail_map_similar_hotel_visit_button,View,accommodation,accommodation_detail,map_similar_hotel_visit_button,FALSE
andpoe.accom_detail_similar_hotel_subtitle,Here are some similar hotel options in similar price range and area with the one you’re currently looking at.,accommodation,accommodation_detail,similar_hotel_subtitle,FALSE
andpoe.accom_detail_similar_hotel_title,Other popular options,accommodation,accommodation_detail,similar_hotel_title,FALSE
andpoe.accom_detail_tppp_learn_more,Learn more,accommodation,accommodation_detail,tppp_learn_more,
andpoe.accom_dns_error_page_message,We’re taking a bit longer to reconnect. Switch between your Wi-Fi and mobile data and try again.,accommodation,accommodation_dns,error_page_message,FALSE
andpoe.accom_dns_error_page_title,Connection lost,accommodation,accommodation_dns,error_page_title,FALSE
andpoe.accom_dns_error_snackbar_message,Please switch between your Wi-Fi and mobile data and try again.,accommodation,accommodation_dns,error_snackbar_message,FALSE
andpoe.accom_dns_error_snackbar_title,Connection lost,accommodation,accommodation_dns,error_snackbar_title,FALSE
andpoe.accom_ean_review_hotel_detail_title,Other Reviews,accommodation,accommodation_ean,review_hotel_detail_title,FALSE
andpoe.accom_ean_review_list_amenities_rating,Amenities,accommodation,accommodation_ean,review_list_amenities_rating,FALSE
andpoe.accom_ean_review_list_title,Customer Reviews,accommodation,accommodation_ean,review_list_title,FALSE
andpoe.accom_ean_review_tab_loading,Loading ...,accommodation,accommodation_ean,review_tab_loading,FALSE
andpoe.accom_eantb_infobox_desc1,"Upon arriving at the property, you will be charged {0} for taxes and/or property-imposed fees ({1}).",accommodation,,,FALSE
andpoe.accom_eantb_infobox_desc2,"The estimated conversion (~{0}) is based on the current exchange rate, which may vary at the time of travel. The total price of your stay is around {1}.",accommodation,,,FALSE
andpoe.accom_eantb_infobox_desc2_installment,"The estimated conversion (~{0}) is based on the current exchange rate, which may vary at the time of travel. The total price of your stay is around {1} (excluding installment fee).",accommodation,,,FALSE
andpoe.accom_eantb_infobox_desc2_reschedule,"The estimated conversion (~{0}) is based on the current exchange rate, which may vary at the time of travel.",accommodation,,,FALSE
andpoe.accom_eantb_infobox_title,Fees to be paid at the property: {0},accommodation,accommodation_eantb,infobox_title,FALSE
andpoe.accom_eantb_tray_desc,This amount will be charged in the local currency by the property upon check-in.,accommodation,accommodation_eantb,tray_desc,FALSE
andpoe.accom_eantb_tray_detail_label,Details,accommodation,accommodation_eantb,tray_detail_label,FALSE
andpoe.accom_eantb_tray_stay_price_installment_label,"Based on the current exchange rate, the total price of your stay is around {0} (excluding installment fee).",accommodation,accommodation_eantb,tray_stay_price_installment_label,FALSE
andpoe.accom_eantb_tray_stay_price_label,"Based on the current exchange rate, the total price of your stay is around {0}.",accommodation,accommodation_eantb,tray_stay_price_label,FALSE
andpoe.accom_eantb_tray_title,Fees to be paid at the property,accommodation,accommodation_eantb,tray_title,FALSE
andpoe.accom_eantb_tray_total_label,Total,accommodation,accommodation_eantb,tray_total_label,FALSE
